id,vehicle.age,vehicle.value,body,seats,drive,mpg,length,height,hp,engine.size,cylinders,fuel
Sx1jeU,20,815,suv,5,FWD,31,165,63,147,2,4,gasoline
QvNz20,22,651,suv,5,AWD,25,161,65,166,2,4,gasoline
3kSAIs,12,11582,suv,8,RWD,19,210,76,440,3.5,6,gasoline
pq3TXs,7,13051,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
u0dOBY,4,41656,suv,8,RWD,19,210,76,440,3.5,6,gasoline
dtArl4,17,1317,sedan,5,FWD,52,173,57,103,1.6,4,diesel
vl4oeR,20,1019,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
ORVCGB,13,2499,suv,5,FWD,31,165,63,147,2,4,gasoline
3VaegU,6,9955,suv,5,FWD,30,171,65,137,1.2,3,gasoline
OY1DJv,13,3248,suv,5,FWD,30,171,65,137,1.2,3,gasoline
jrDSGE,18,1403,suv,5,AWD,29,176,63,152,2,4,gasoline
QwGIoP,6,17230,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
PfgMoT,22,1332,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
vfFQM4,13,5622,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
LQhNWg,23,1160,sedan,5,FWD,36,195,56,235,2,4,diesel
hA0RuN,12,4252,suv,5,AWD,42,176,63,131,2,4,diesel
afTPTn,22,740,sedan,5,AWD,30,191,59,182,2.5,4,gasoline
MaZQqk,13,2748,suv,5,AWD,25,161,65,166,2,4,gasoline
GvIovn,4,29001,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
AFoJBD,22,858,sedan,5,FWD,43,194,58,138,1.5,4,diesel
SgiLC7,15,3447,sub,5,AWD,23,189,68,250,2,4,gasoline
GrppNl,19,2631,suv,8,RWD,20,210,77,380,3.5,6,gasoline
xwqn1J,8,7229,suv,5,FWD,30,171,65,137,1.2,3,gasoline
ceHWKh,20,938,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
Yr2mLG,10,12719,suv,8,RWD,29,210,77,329,3.5,6,diesel
VRTIcu,16,2087,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
3QKgDO,16,3479,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
pINZMA,9,5449,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
avhgLh,15,2359,suv,5,FWD,30,171,65,137,1.2,3,gasoline
zz1qXx,7,17619,suv,8,RWD,21,205,75,332,6,8,gasoline/hybrid
XWyXff,22,770,suv,5,FWD,30,171,65,137,1.2,3,gasoline
THa2MJ,6,9955,suv,5,FWD,30,171,65,137,1.2,3,gasoline
MZVYXr,22,622,sedan,5,FWD,52,161,60,112,1.5,4,diesel
irQuBx,15,3447,suv,5,AWD,23,189,68,250,2,4,gasoline
1axHDg,13,4747,suv,5,AWD,23,189,68,250,2,4,gasoline
vpISuS,5,17973,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
DnhY1U,14,2342,suv,5,AWD,25,161,65,166,2,4,gasoline
byAUil,9,5923,suv,5,AWD,29,176,63,152,2,4,gasoline
txXZrM,17,3228,sedan,5,rwd,NA,182,56,320,3,6,gasoline
2AvYkR,3,16088,suv,5,FWD,30,171,65,137,1.2,3,gasoline
XGFlQC,19,670,sedan,5,FWD,31,174,58,120,1.6,4,gasoline
NMxjuE,6,10338,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
BudBCk,3,16088,suv,5,FWD,30,171,65,137,1.2,3,gasoline
eDsjXX,17,1647,suv,5,AWD,36,161,65,143,2,4,diesel
hHuwbC,4,12655,sedan,5,FWD,53,184,56,127,2,4,diesel
uXmLyn,10,4442,suv,5,AWD,25,161,65,166,2,4,gasoline
hCe2vS,7,8157,suv,5,AWD,29,176,63,152,2,4,gasoline
FOAkjU,7,8157,suv,5,AWD,29,176,63,152,2,4,gasoline
JyrCFy,9,13031,suv,8,RWD,20,210,77,380,3.5,6,gasoline
nnHOWb,18,1516,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
tzdbXH,3,33414,suv,8,RWD,21,205,75,332,6,8,gasoline/hybrid
AwA4jj,21,695,sedan,5,FWD,52,173,57,103,1.6,4,diesel
3nBeaW,14,1703,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
CeUxT0,6,11104,sedan,5,FWD,46,193,57,165,2.5,4,diesel
wrjh1x,2,19606,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
rLWCJq,13,2748,sedan,5,FWD,35,183,57,169,2,4,gasoline
2iUheY,15,5715,suv,8,RWD,31,208,77,287,6,8,diesel
luAvyv,13,3123,sedan,5,FWD,30,194,58,160,1.5,4,gasoline
LPGERW,8,11121,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
jk1pfh,16,1391,sedan,5,FWD,31,179,58,160,2,4,flex
dKJbSm,20,897,suv,5,AWD,25,161,65,166,2,4,gasoline
DF1wrw,6,14550,suv,5,AWD,23,189,68,250,2,4,gasoline
3qQBDs,24,580,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
QXELSe,10,5047,sedan,5,AWD,30,191,59,182,2.5,4,gasoline
KGjwZd,2,32677,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
ham41X,20,1549,suv,5,AWD,23,189,68,250,2,4,gasoline
ddZKvl,8,17238,suv,8,RWD,31,205,75,287,6,8,diesel
HUzTeB,4,15291,sedan,5,AWD,43,191,59,157,2.5,4,diesel
wJMqPq,9,4739,suv,5,FWD,33,169,63,122,1.6,4,gasoline
SicBcI,12,3372,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
kt3Bnd,30,444,suv,8,rwd,21,205,75,332,6,8,gasoline
Rqshlv,18,3087,suv,8,RWD,20,210,77,380,3.5,6,gasoline
TrTQAm,28,283,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
RguUrB,11,4129,suv,5,FWD,28,180,63,158,2,4,gasoline
VSlrMI,15,3629,sedan,5,AWD,28,187,56,201,2,4,gasoline/hybrid
14CVZx,13,4747,suv,5,AWD,23,189,68,250,2,4,gasoline
RCIwxr,14,5855,suv,8,RWD,20,210,77,380,3.5,6,gasoline
sVqdmG,8,15292,suv,8,RWD,20,210,77,380,3.5,6,gasoline
osQIfN,12,3812,sesan,5,fwd,45,184,57,165,2.5,4,diesel
vojadX,14,2129,suv,5,FWD,31,165,63,147,2,4,gasoline
2wQvos,7,5547,sedan,5,FWD,36,173,57,120,1.6,4,gasoline
TYkuOU,3,48884,suv,8,RWD,19,210,76,440,3.5,6,gasoline
uZeYqH,3,23514,suv,5,AWD,23,189,68,250,2,4,gasoline
OE0FWJ,8,4449,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
0FNFKV,23,530,sedan,5,FWD,37,184,56,147,2,4,gasoline
FSeohS,6,9572,suv,5,AWD,29,176,63,152,2,4,gasoline
g1M41x,3,15470,sedan,5,FWD,30,194,58,160,1.5,4,gasoline
pzf0zs,8,5561,suv,5,FWD,31,165,63,147,2,4,gasoline
i0NaW4,14,4897,suv,8,AWD,36,202,69,242,3.3,6,diesel
YggxfK,9,5923,suv,5,AWD,29,176,63,152,2,4,gasoline
sIx2aq,6,8807,suv,5,FWD,45,165,63,127,2,4,diesel
PVGrBM,19,1339,suv,5,FWD,41,180,63,136,2,4,diesel
EOvzdc,14,2129,suv,5,FWD,31,165,63,147,2,4,gasoline
JMpHGK,3,10519,sedan,5,FWD,36,173,57,120,1.6,4,gasoline
jBGFNW,13,4997,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
IaWr4W,20,2568,suv,8,RWD,29,210,77,329,3.5,6,diesel
aNDCVy,13,2499,suv,5,FWD,33,169,63,122,1.6,4,gasoline
jJZjX0,9,14926,suv,8,RWD,31,208,77,287,6,8,diesel
JIJNZq,11,4817,suv,5,FWD,41,180,63,136,2,4,diesel
YrOxze,10,4038,suv,5,FWD,33,169,63,122,1.6,4,gasoline
QfvWOg,1,19599,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
D4HK0U,5,11233,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
arRLCT,14,5855,suv,8,RWD,20,210,77,380,3.5,6,gasoline
MOxEc1,6,21059,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
WmmIgN,10,4644,suv,5,FWD,45,165,63,127,2,4,diesel
OxmL3W,5,24264,suv,8,RWD,21,205,75,332,6,8,gasoline/hybrid
GFFUkV,15,2087,suv,5,FWD,45,165,63,127,2,4,diesel
wohYeZ,12,6451,suv,5,AWD,33,189,68,216,2,4,diesel
PYcrX3,19,1387,sedan,5,FWD,43,194,58,138,1.5,4,diesel
iZ4D02,11,3957,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
tiyYEY,7,4568,sedan,5,FWD,31,174,58,120,1.6,4,gasoline
ILOaTg,18,1235,suv,5,AWD,25,161,65,166,2,4,gasoline
3UjFgD,6,8424,suv,5,AWD,25,161,65,166,2,4,gasoline
3ycpZA,28,453,sedan,5,AWD,28,187,56,201,2,4,gasoline
gHmmZ0,13,3248,suv,5,FWD,30,171,65,137,1.2,3,gasoline
3URKae,16,2087,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
Bv0T1a,8,15292,suv,8,RWD,20,210,77,380,3.5,6,gasoline
g2axrz,8,6951,suv,5,AWD,36,161,65,143,2,4,diesel
YZWBtQ,5,11683,suv,5,FWD,30,171,65,137,1.2,3,gasoline
PXG4Yg,20,815,suv,5,FWD,33,169,63,122,1.6,4,gasoline
z0mthn,5,7639,sedan,5,FWD,36,173,57,120,1.6,4,gasoline
p2Ycxe,10,5047,sedan,5,FWD,51,183,57,146,2,4,diesel
xzG1kV,16,2242,suv,5,AWD,42,176,63,131,2,4,diesel
ylSqRi,24,473,sedan,5,FWD,35,183,57,169,2,4,gasoline
Izoskx,13,9869,suv,8,RWD,19,210,76,440,3.5,6,gasoline
3IboXb,20,1019,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
oxxqCe,5,11233,suv,5,AWD,29,176,63,152,2,4,gasoline
wnAlta,12,2052,sedan,5,FWD,31,174,58,120,1.6,4,gasoline
3VXEcY,16,4870,suv,8,RWD,29,210,77,329,3.5,6,diesel
SO1rRj,2,27594,suv,5,AWD,23,189,68,250,2,4,gasoline
ULewqW,25,366,suv,5,FWD,33,169,63,122,1.6,4,gasoline
tprTWm,8,6673,suv,5,FWD,28,180,63,158,2,4,gasoline
rpKTFV,28,159,sedan,5,FWD,31,174,58,120,1.6,4,gasoline
BinNej,28,431,suv,5,AWD,23,189,68,250,2,4,gasoline
BmCrZp,21,625,sedan,5,FWD,31,179,58,160,2,4,flex
JUwJUj,5,8987,suv,5,FWD,33,169,63,122,1.6,4,gasoline
CnOxKt,10,4038,suv,5,FWD,33,169,63,122,1.6,4,gasoline
3HhJXS,12,3519,suv,5,FWD,28,180,63,158,2,4,gasoline
OWeKQh,4,29001,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
mgANzL,4,14764,suv,5,FWD,41,180,63,136,2,4,diesel
KlbPvO,20,1549,suv,5,AWD,23,189,68,250,2,4,gasoline
KKkMxn,10,4038,suv,5,FWD,33,169,63,122,1.6,4,gasoline
VAPOk3,6,9572,sedan,5,FWD,30,194,58,160,1.5,4,gasoline
HOH0I1,11,10839,suv,8,RWD,29,210,77,329,3.5,6,diesel
nlYkjA,18,898,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
vvprBA,26,390,suv,5,AWD,29,176,63,152,2,4,gasoline
ynHJMr,21,1528,suv,5,AWD,33,189,68,216,2,4,diesel
gh4WvY,18,1123,suv,5,FWD,31,165,63,147,2,4,gasoline
wNRr2y,10,3634,sedan,5,FWD,36,161,60,130,1.5,4,gasoline
XWMxpk,21,868,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
vqLr1B,22,681,suv,5,FWD,48,169,63,105,1.6,4,diesel
3hWITb,17,1647,sedan,5,AWD,30,191,59,182,2.5,4,gasoline
4Iznjj,9,4739,suv,5,FWD,33,169,63,122,1.6,4,gasoline
Fr0LFM,8,6117,sedan,5,FWD,35,183,57,169,2,4,gasoline
aS4IV2,8,15292,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
yeg4dl,9,9003,suv,5,AWD,23,189,68,250,2,4,gasoline
Cc1zzZ,6,8807,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
KAG4Ze,9,5923,suv,5,AWD,29,176,63,152,2,4,gasoline
jHTUU7,11,4301,sesan,5,fwd,32,193,57,191,2.5,4,gasoline
irFWhr,15,2631,suv,5,AWD,42,176,63,131,2,4,diesel
LRGJTn,8,5005,sedan,5,FWD,36,161,60,130,1.5,4,gasoline
mtN1O3,15,3447,suv,5,AWD,23,189,68,250,2,4,gasoline
EiJx4A,6,21059,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
qRSKgl,10,6057,suv,5,FWD,43,171,65,118,1.2,3,diesel
fzRfLN,7,6852,sedan,5,FWD,37,184,56,147,2,4,gasoline
OdCbBd,10,9287,suv,8,AWD,36,202,69,242,3.3,6,diesel
cdSUK0,3,24751,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
M33xL1,5,13031,suv,5,AWD,42,176,63,131,2,4,diesel
wdMpeX,16,1237,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
yORRzX,12,2932,suv,5,FWD,31,165,63,147,2,4,gasoline
2HDsLm,16,4252,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
bkWbFy,13,2998,suv,5,FWD,28,180,63,158,2,4,gasoline
QLzeZk,13,3123,sedan,5,fwd,32,193,57,191,2.5,4,gasoline
MNctCE,11,3441,suv,5,FWD,33,169,63,122,1.6,4,gasoline
VvVDAV,15,3629,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
tDDayj,18,1291,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
KPeSJQ,23,631,suv,5,AWD,36,161,65,143,2,4,diesel
Zv3BbO,4,21092,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
Ay3OY0,12,3519,suv,5,FWD,28,180,63,158,2,4,gasoline
f3QHqB,4,29001,suv,8,RWD,20,210,77,380,3.5,6,gasoline
ltgxBf,14,1916,sedan,5,FWD,31,179,58,160,2,4,flex
dRye1c,11,4301,suv,5,AWD,29,176,63,152,2,4,gasoline
n11diP,12,2932,suv,5,FWD,33,169,63,122,1.6,4,gasoline
BUmKIf,23,1236,sedan,5,RWD,23,182,56,320,3,6,gasoline
1xguaC,14,1916,sedan,5,FWD,31,179,58,160,2,4,flex
gJGFSD,17,1317,suv,5,FWD,33,169,63,122,1.6,4,gasoline
U1ZNSv,21,834,sedan,5,FWD,53,184,56,127,2,4,diesel
COhMY4,14,1916,sedan,5,FWD,36,161,60,130,1.5,4,gasoline
FxX0gb,12,3665,sedan,5,AWD,30,191,59,182,2.5,4,gasoline
micVvW,25,513,suv,5,FWD,41,180,63,136,2,4,diesel
IaCPhH,10,10902,suv,8,RWD,21,205,75,332,6,8,gasoline/hybrid
K4hMAp,4,13182,sedan,5,AWD,30,191,59,182,2.5,4,gasoline
PmoXC4,3,16707,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
4yRbSC,18,1460,sedan,5,FWD,45,184,57,165,2.5,4,diesel
hzXvCf,17,1647,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
ubSbXT,10,8076,sub,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
PKgR0v,6,15316,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
KzZioP,4,8437,sedan,5,FWD,45,174,58,103,1.6,4,diesel
kQyyjm,14,1916,sedan,5,FWD,31,179,58,160,2,4,flex
iAHLhg,14,2342,suv,5,AWD,25,161,65,166,2,4,gasoline
wbckAj,6,8424,suv,5,AWD,25,161,65,166,2,4,gasoline
pUCzgm,17,1647,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
sjVerO,10,3634,sedan,5,FWD,31,179,58,160,2,4,flex
iH3gOa,26,593,suv,5,AWD,23,189,68,250,2,4,gasoline
ePhYFv,13,4747,suv,5,AWD,23,189,68,250,2,4,gasoline
2Drkn0,22,1450,sedan,5,RWD,23,182,56,320,3,6,gasoline
IPAN00,17,3623,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
x4srkT,6,9572,suv,5,AWD,29,176,63,152,2,4,gasoline
zvb1qh,10,4038,suv,5,FWD,33,169,63,122,1.6,4,gasoline
PVFUCO,3,48884,suv,8,RWD,19,210,76,440,3.5,6,gasoline
zXLOMO,3,17945,sedan,5,FWD,46,193,57,165,2.5,4,diesel
wYkxql,24,516,suv,5,FWD,28,180,63,158,2,4,gasoline
Nnzp2K,9,5449,suv,5,FWD,48,169,63,105,1.6,4,diesel
GXEJtJ,4,12128,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
oegWKf,6,9572,suv,5,AWD,36,161,65,143,2,4,diesel
c4qixl,14,1490,sedan,5,FWD,31,174,58,120,1.6,4,gasoline
BFrOiZ,6,6892,sedan,5,FWD,31,179,58,160,2,4,flex
ElmJhk,17,2503,suv,5,AWD,23,189,68,250,2,4,gasoline
OWwNLt,11,2753,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
qgDclC,19,1052,suv,5,AWD,25,161,65,166,2,4,gasoline
PTwv0q,4,21092,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
Dsgtld,21,1389,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
FKyip1,10,4442,sedan,5,FWD,35,183,57,169,2,4,gasoline
kj4Mru,18,2245,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
E0umFG,11,3441,suv,5,FWD,33,169,63,122,1.6,4,gasoline
OPYlCq,21,799,sedan,5,FWD,31,184,57,191,2.5,4,gasoline
yieVTS,6,8807,sesan,5,fwd,31,184,NA,191,2.5,4,gasoline
rskiWh,13,4997,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
quIa0D,3,48884,suv,8,RWD,19,210,76,440,3.5,6,gasoline
ZaM4Tn,18,1403,suv,5,AWD,29,176,63,152,2,4,gasoline
HzcANd,16,1082,sedan,5,FWD,31,174,58,120,1.6,4,gasoline
nfqDll,21,1007,suv,5,AWD,42,176,63,131,2,4,diesel
SyEhEm,13,6871,suv,8,RWD,20,210,77,380,3.5,6,gasoline
x2MZf3,14,4258,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
0QHA1p,10,3634,sedan,5,FWD,31,179,58,160,2,4,flex
KmGYmH,15,2177,suv,5,FWD,28,180,63,158,2,4,gasoline
QZnufx,14,3300,sedan,5,FWD,46,196,57,166,1.5,4,diesel
eSyScs,15,1996,suv,5,AWD,25,161,65,166,2,4,gasoline
kTTjnp,23,1362,suv,8,RWD,21,205,75,332,6,8,gasoline/hybrid
w1nqAc,24,645,suv,5,FWD,43,171,65,118,1.2,3,diesel
h4itgR,21,764,sedan,5,FWD,35,183,57,169,2,4,gasoline
iAFZVT,12,2346,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
pZqF13,19,1052,suv,5,AWD,25,161,65,166,2,4,gasoline
K1NXWk,20,2323,sedan,5,AWD,27,194,57,261,2,4,gasoline/hybrid
CbiZhU,7,6526,suv,5,FWD,31,165,63,147,2,4,gasoline
Yu4OuE,7,13051,sedan,5,FWD,25,195,56,272,2,4,gasoline
tOpJpS,22,533,sedan,5,FWD,49,164,60,95,1.6,4,diesel
3d0P4f,8,12512,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
zaYh0y,11,3097,sedan,5,FWD,36,161,60,130,1.5,4,gasoline
GgcjFX,6,10338,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
zH1b2Y,2,29046,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
0AR0hN,14,2129,suv,5,FWD,31,165,63,147,2,4,gasoline
UacLZd,5,10335,suv,5,FWD,45,165,63,127,2,4,diesel
dIZdg4,11,4301,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
3ZZNJP,19,2631,suv,8,RWD,20,210,77,380,3.5,6,gasoline
etbuE1,6,8041,sedan,5,FWD,37,184,56,147,2,4,gasoline
eYfOtr,15,7167,suv,8,RWD,19,210,76,440,3.5,6,gasoline
4qyn3n,9,5923,sedan,5,FWD,30,194,58,160,1.5,4,gasoline
ZN3kM0,5,20220,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
dUAwFs,13,3498,suv,5,FWD,41,180,63,136,2,4,diesel
DnT0l0,19,1196,suv,5,AWD,29,176,63,152,2,4,gasoline
QY2v3P,14,2661,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
XcB4Zq,30,181,suv,5,AWD,25,161,65,166,2,4,gasoline
V1lITc,27,532,suv,8,AWD,25,202,69,280,3.3,6,gasoline
PVNUnu,18,1123,sedan,5,FWD,52,173,57,103,1.6,4,diesel
OhoHTC,15,5715,suv,8,RWD,31,208,77,287,6,8,diesel
ud4xVj,3,13613,suv,5,AWD,25,161,65,166,2,4,gasoline
4egDUE,24,387,sedan,5,FWD,36,161,60,130,1.5,4,gasoline
APjd0o,11,3785,sedan,5,FWD,35,183,57,169,2,4,gasoline
G2qhW4,6,9955,suv,5,FWD,30,171,65,137,1.2,3,gasoline
s2jzJB,15,4899,suv,8,RWD,21,205,75,332,6,8,gasoline/hybrid
DYikGd,13,4747,suv,5,AWD,23,189,68,250,2,4,gasoline
xYPi0b,26,453,suv,5,AWD,42,176,63,131,2,4,diesel
