id,nb.rb,exposure,year
avhgLh,RB,0.5,2019
zz1qXx,NB,1,2019
XWyXff,NB,1,2018
THa2MJ,NB,1,2020
MZVYXr,NB,0.5,2019
irQuBx,NB,1,2020
1axHDg,NB,0.16666666666666666,2022
vpISuS,RB,1,2022
DnhY1U,RB,1,2022
byAUil,NB,0.5,2022
txXZrM,RB,1,2020
2AvYkR,NB,1,2018
XGFlQC,NB,1,2020
NMxjuE,RB,1,2019
BudBCk,RB,1,2021
eDsjXX,RB,1,2020
hHuwbC,RB,1,2022
uXmLyn,RB,1,2021
hCe2vS,NB,1,2018
FOAkjU,RB,0.5,2020
JyrCFy,RB,0.5,2019
nnHOWb,NB,1,2021
tzdbXH,RB,1,2022
AwA4jj,RB,0.25,2022
3nBeaW,NB,0.5,2018
CeUxT0,NB,1,2022
wrjh1x,RB,1,2019
rLWCJq,RB,1,2022
2iUheY,RB,0.5,2019
luAvyv,RB,1,2019
LPGERW,NB,0.5,2022
jk1pfh,RB,1,2021
dKJbSm,RB,0.5,2018
DF1wrw,NB,0.5,2022
3qQBDs,RB,0.5,2022
QXELSe,RB,0.5,2022
KGjwZd,RB,1,2019
ham41X,NB,0.5,2022
ddZKvl,RB,1,2018
HUzTeB,NB,0.8333333333333334,2021
wJMqPq,NB,1,2020
SicBcI,RB,0.5,2022
kt3Bnd,NB,0.5,2020
Rqshlv,RB,1,2020
TrTQAm,RB,0.5,2019
RguUrB,RB,1,2019
VSlrMI,RB,1,2021
14CVZx,RB,0.3333333333333333,2021
RCIwxr,RB,0.25,2022
sVqdmG,RB,1,2022
osQIfN,RB,1,2018
vojadX,RB,1,2022
2wQvos,NB,0.5,2020
TYkuOU,NB,0.5,2022
uZeYqH,RB,1,2022
OE0FWJ,NB,0.5,2021
0FNFKV,NB,1,2019
FSeohS,NB,1,2019
g1M41x,RB,0.5,2019
pzf0zs,RB,0.5,2021
i0NaW4,RB,1,2021
YggxfK,NB,1,2022
sIx2aq,NB,1,2019
PVGrBM,RB,0.3333333333333333,2022
EOvzdc,NB,0.5,2022
JMpHGK,RB,0.5,2021
jBGFNW,RB,0.5,2020
IaWr4W,RB,1,2018
aNDCVy,RB,1,2018
jJZjX0,RB,1,2018
JIJNZq,RB,1,2020
YrOxze,RB,0.5,2021
QfvWOg,RB,1,2018
D4HK0U,NB,0.5,2019
arRLCT,RB,0.8333333333333334,2018
MOxEc1,RB,1,2022
WmmIgN,RB,0.08333333333333333,2018
OxmL3W,NB,1,2020
GFFUkV,RB,1,2020
wohYeZ,NB,0.5,2019
PYcrX3,RB,1,2019
iZ4D02,NB,1,2019
tiyYEY,RB,1,2022
ILOaTg,RB,1,2020
3UjFgD,RB,1,2019
3ycpZA,RB,1,2020
gHmmZ0,RB,0.5,2018
3URKae,NB,1,2020
Bv0T1a,NB,0.5,2020
g2axrz,RB,1,2019
YZWBtQ,RB,1,2022
PXG4Yg,RB,1,2020
z0mthn,RB,1,2021
p2Ycxe,RB,1,2019
xzG1kV,NB,0.5,2022
ylSqRi,RB,1,2021
Izoskx,RB,0.5,2021
3IboXb,RB,0.5,2021
oxxqCe,RB,1,2019
wnAlta,NB,1,2019
3VXEcY,RB,0.5,2021
SO1rRj,RB,1,2022
ULewqW,RB,0.5,2019
tprTWm,RB,1,2019
rpKTFV,RB,1,2021
BinNej,RB,0.5,2021
BmCrZp,RB,1,2018
JUwJUj,NB,1,2019
CnOxKt,RB,1,2021
3HhJXS,RB,0.5,2019
OWeKQh,RB,0.5,2022
mgANzL,RB,0.5,2019
KlbPvO,RB,0.5,2021
KKkMxn,NB,1,2021
VAPOk3,NB,1,2018
HOH0I1,NB,0.5,2020
nlYkjA,RB,1,2018
vvprBA,RB,0.25,2018
ynHJMr,RB,1,2022
gh4WvY,RB,0.5,2020
wNRr2y,RB,1,2021
XWMxpk,RB,1,2022
vqLr1B,NB,1,2021
3hWITb,NB,0.5,2021
4Iznjj,NB,0.5,2018
Fr0LFM,RB,1,2022
aS4IV2,RB,0.5,2020
yeg4dl,RB,0.5,2022
Cc1zzZ,RB,1,2022
KAG4Ze,NB,1,2020
jHTUUy,RB,1,2022
irFWhr,RB,1,2018
LRGJTn,RB,0.5,2021
mtN1O3,RB,0.5,2020
EiJx4A,RB,1,2021
qRSKgl,NB,1,2020
fzRfLN,RB,1,2022
OdCbBd,RB,0.5,2022
cdSUK0,RB,0.5,2022
M33xL1,RB,1,2019
wdMpeX,RB,0.08333333333333333,2019
yORRzX,RB,1,2022
2HDsLm,RB,1,2018
bkWbFy,RB,1,2021
QLzeZ5,NB,1,2022
MNctCE,RB,1,2020
VvVDAV,NB,1,2021
tDDayj,NB,1,2018
KPeSJQ,NB,0.75,2021
Zv3BbO,RB,1,2018
Ay3OY0,RB,1,2022
f3QHqB,RB,0.5,2022
ltgxBf,RB,1,2021
dRye1c,RB,0.8333333333333334,2022
n11diP,RB,0.5,2022
BUmKIf,NB,0.5833333333333334,2022
1xguaC,RB,0.5,2019
gJGFSD,RB,1,2021
U1ZNSv,RB,1,2021
COhMY4,RB,1,2018
FxX0gb,RB,1,2021
micVvW,NB,1,2021
IaCPhH,RB,0.5,2019
K4hMAp,RB,1,2020
PmoXC4,RB,1,2020
4yRbSC,RB,1,2020
hzXvCf,RB,0.5,2020
ubSbX5,NB,1,2022
PKgR0v,NB,0.5,2021
KzZioP,RB,0.5,2020
kQyyjm,NB,1,2019
iAHLhg,RB,1,2022
wbckAj,RB,1,2021
pUCzgm,NB,1,2021
sjVerO,RB,0.5,2020
iH3gOa,RB,1,2021
ePhYFv,RB,1,2021
2Drkn0,NB,0.5,2022
IPAN00,NB,1,2020
x4srkT,NB,1,2022
zvb1qh,NB,1,2022
PVFUCO,NB,0.5,2020
zXLOMO,RB,0.8333333333333334,2020
wYkxql,RB,0.5,2019
Nnzp2K,RB,1,2018
GXEJtJ,RB,1,2020
oegWKf,RB,0.5,2018
c4qixl,RB,0.5,2019
BFrOiZ,RB,0.5,2019
ElmJhk,RB,1,2022
OWwNLt,RB,1,2022
qgDclC,RB,1,2022
PTwv0q,RB,0.5,2021
Dsgtld,RB,1,2022
FKyip1,RB,1,2020
kj4Mru,RB,0.5,2018
E0umFG,NB,0.6666666666666666,2021
OPYlCq,NB,0.5,2019
yieVTS,RB,0.5,2021
rskiWh,RB,0.5,2019
quIa0D,RB,0.5,2019
ZaM4Tn,RB,1,2020
HzcANd,RB,1,2021
nfqDll,RB,0.3333333333333333,2021
SyEhEm,NB,1,2019
x2MZf3,NB,1,2020
0QHA1p,RB,0.4166666666666667,2018
KmGYmH,RB,1,2020
QZnufx,NB,0.5,2021
eSyScs,RB,1,2019
kTTjnp,RB,0.5,2021
w1nqAc,RB,1,2019
h4itgR,RB,1,2019
iAFZVT,RB,1,2022
pZqF13,RB,0.5,2022
K1NXWk,NB,1,2021
CbiZhU,NB,1,2022
Yu4OuE,NB,0.5,2021
tOpJpS,RB,0.3333333333333333,2018
3d0P4f,NB,0.5,2022
zaYh0y,RB,0.4166666666666667,2019
GgcjFX,NB,1,2022
zH1b2Y,RB,0.5,2020
0AR0hN,NB,1,2021
UacLZd,RB,1,2020
dIZdg4,RB,0.5,2022
3ZZNJP,RB,0.8333333333333334,2018
etbuE1,RB,1,2022
eYfOtr,RB,0.75,2022
4qyn3n,NB,0.5,2020
ZN3kM0,NB,1,2020
dUAwFs,RB,1,2018
DnT0l0,RB,1,2021
QY2v3P,RB,1,2020
XcB4Zq,RB,1,2022
V1lITc,NB,0.4166666666666667,2022
PVNUnu,RB,1,2019
OhoHTC,RB,1,2022
ud4xVj,RB,0.5,2022
4egDUE,RB,0.5,2021
APjd0o,RB,0.5,2021
G2qhW4,RB,1,2020
s2jzJB,NB,0.5833333333333334,2020
DYikGd,NB,0.5,2019
xYPi0b,NB,0.5,2019
LbKJmP,RB,1,2022
InhWos,NB,1,2019
p2ZLML,RB,1,2021
igcFOo,RB,0.5,2020
2zDrOI,NB,0.5,2018
qFoGdD,NB,0.9166666666666666,2020
r3eHpi,NB,0.5,2021
gV1jgU,NB,1,2019
1mXufh,RB,0.5,2020
RDvTYk,NB,1,2022
VhLdgD,NB,1,2021
0yhkYC,NB,1,2022
R1N13K,RB,1,2019
y44T0u,RB,0.5,2022
Y2HH0E,RB,1,2019
4ptfLH,RB,1,2021
OcbUjG,RB,0.5,2019
xCBNjr,NB,1,2021
icpdZo,NB,1,2021
xRO1bS,NB,1,2022
3qdgTY,RB,1,2019
11zyQo,RB,1,2020
tOGmuI,RB,1,2022
vkWSef,RB,1,2019
TyYiwG,NB,1,2019
3GRLkr,RB,0.5,2018
N0zKUd,RB,1,2018
NAZp2x,RB,0.5,2021
Qf2fIU,RB,0.5,2021
KUHP21,RB,1,2021
UXfYHE,RB,0.5,2020
BHrBGc,NB,0.5,2022
YWanej,NB,1,2019
Pubtmg,RB,1,2019
KNXXyn,RB,1,2020
rLX4OR,RB,0.5,2019
2VtccO,RB,1,2022
PFxxV0,RB,1,2022
yvQrYI,NB,0.6666666666666666,2021
jxAj31,RB,0.16666666666666666,2022
hPBcpJ,RB,1,2022
CjrXZZ,RB,1,2020
VGVApb,RB,0.5,2021
EAWVPr,RB,1,2020
AVpWFo,RB,1,2020
gTZh0s,NB,0.5,2019
nUmkVW,NB,1,2022
jAwBDw,RB,0.5,2020
PSJfej,RB,1,2020
YneHmC,RB,1,2018
L3yavO,NB,1,2021
C0rAqN,RB,1,2022
hnjAzM,RB,1,2020
M4OOJE,RB,1,2018
C1YIo4,RB,1,2020
sv0Lam,RB,1,2019
pirbiY,RB,1,2019
wfftbH,RB,1,2018
LkkfkG,RB,0.5,2022
PTn1Cg,RB,1,2019
okvbNJ,RB,0.08333333333333333,2021
QunJGC,NB,1,2022
fKGlGa,RB,0.5,2022
IstzZi,RB,1,2019
BMFqxk,RB,1,2019
2u0YVA,NB,1,2019
QtCKem,RB,0.5,2018
4CVjKs,NB,1,2018
yvDMbK,RB,0.5,2021
JSLK14,RB,1,2018
e2SqQq,RB,1,2022
zqnwLh,RB,1,2018
VDeNa3,NB,0.5,2020
akxUYy,NB,1,2020
gGt0ns,RB,1,2022
HW0L1v,RB,1,2022
AjoCAG,NB,1,2019
3EKVZe,NB,1,2019
qtlD4S,NB,1,2018
bkkKvi,RB,0.5,2021
MbGyUi,RB,0.5833333333333334,2018
2JbxUr,NB,0.5,2021
HlnLDa,NB,0.75,2018
qfyRKD,RB,1,2019
ZwTuBI,NB,0.5,2018
zaCWGG,NB,1,2018
icz0Hf,NB,1,2020
GOYrpm,RB,1,2018
dsKyNl,NB,1,2020
ugsVNG,RB,1,2021
GYUusZ,RB,0.5,2019
EyF4Tj,RB,1,2020
HoOydP,RB,0.5,2018
3zuIAN,RB,1,2020
JxtrL5,RB,0.5,2022
MsycMC,NB,1,2020
o1h3Ra,RB,1,2019
O0M2dE,RB,1,2019
TKMjAl,RB,1,2018
2SKHkU,RB,0.5,2018
O2ldBt,RB,1,2022
FwyeYx,RB,1,2020
KZev1W,RB,0.5,2021
vb2yH0,RB,0.9166666666666666,2018
yRSrHT,RB,1,2022
kQBvPS,RB,0.9166666666666666,2022
P2ikwk,RB,0.5,2020
qzpiaj,RB,0.5,2018
wciQhy,RB,1,2018
nYelCV,RB,1,2019
I4rk3X,RB,1,2020
O0ErK4,RB,0.5,2021
iYAyE2,RB,1,2019
StKMpg,NB,1,2022
UYyOFF,RB,1,2021
fZragq,RB,0.5,2022
04hHZY,NB,1,2021
yVuLuD,RB,0.5,2021
sFUp0F,RB,1,2019
GnBiRd,RB,1,2019
nceQIh,RB,0.5,2020
ETGEWn,NB,1,2022
zBqAtr,NB,1,2022
TsEc3N,RB,1,2022
vAFNiC,RB,0.5,2020
WQq0Jh,RB,1,2022
2BE3tb,NB,0.5,2018
2wu1MU,NB,1,2022
UTtrur,RB,1,2021
mXjvtV,RB,1,2021
QcfTFi,RB,1,2021
zD1DFr,RB,1,2022
HJOVHH,RB,1,2020
MNNp4a,RB,1,2021
mZxaWk,NB,1,2021
mQ0BC4,RB,1,2021
WycxD0,RB,1,2020
Bt3qSS,RB,0.5,2021
B0OnTF,RB,1,2022
IQItqv,RB,1,2020
AeZKZE,RB,0.5,2019
k2VbUD,RB,0.5,2021
fDQIwb,RB,0.8333333333333334,2022
Ebnwi1,RB,0.5,2019
JS2euk,RB,1,2019
PuBEfs,RB,1,2019
tLbxnq,NB,0.5,2022
r2bscL,RB,0.5,2022
rMd3Jy,RB,1,2022
DHXZih,RB,0.5,2021
cNQZL0,NB,0.5,2021
FVi3dG,NB,1,2020
YejAiG,NB,1,2018
13ysT3,RB,1,2020
RvCSMY,RB,0.4166666666666667,2022
bbKZZO,RB,0.4166666666666667,2020
gD0rNR,RB,1,2022
IGOBAd,NB,0.5,2018
gtQhot,RB,1,2020
sdlNSy,RB,0.5,2021
pQx2pJ,RB,1,2021
e3O0Mp,RB,0.5,2022
QIQQWz,RB,1,2018
FPkAWr,NB,0.5,2022
WyQSDA,RB,0.5,2020
dL4dwL,RB,0.5,2022
oY2L1Z,RB,1,2021
aUFfdJ,NB,1,2019
gvPCF4,NB,0.5,2021
SNnmIl,RB,1,2018
lrTouo,RB,0.25,2018
CIfFT4,RB,0.5,2020
LrbsWQ,NB,1,2020
PODgmJ,RB,0.5,2019
Awfugl,RB,0.5,2020
yKCCha,NB,1,2021
rsTP2q,NB,1,2019
y1vueT,NB,1,2022
bEHLSO,RB,1,2021
wwfZaA,RB,1,2020
XPVJHs,NB,1,2020
zxucFP,RB,1,2019
mbC4oh,NB,1,2018
QtIL3h,NB,0.6666666666666666,2020
QhaEeY,RB,0.5,2020
jfUZOX,RB,1,2022
0pQMFd,RB,1,2019
btWGEa,RB,1,2019
ipzYEh,RB,0.5,2021
hAo2FC,NB,1,2021
oWpTrn,RB,1,2020
wDSQhK,RB,1,2020
vWOrgf,RB,0.5,2018
yxtoWf,RB,1,2019
YsywNr,RB,1,2019
xZkINi,RB,1,2020
CrvE3E,RB,0.5,2021
NANZqP,RB,0.5,2019
PyUjmh,NB,0.5,2021
shiEKr,RB,0.5,2021
sZxmZY,RB,0.5,2019
DGsvj4,NB,1,2020
HLK4MV,RB,1,2022
XZMJTV,RB,0.5,2018
pVcxZr,NB,0.5,2019
0MwJIe,RB,1,2019
Oti2CK,NB,1,2022
XRZgjl,RB,1,2020
sufFyj,RB,1,2019
J00inO,RB,1,2019
GUxD2G,NB,1,2022
fYw0KT,RB,1,2020
V4WDQh,NB,1,2022
X4Ntlk,NB,0.5,2022
wtQaGM,RB,1,2019
KHBrNW,NB,1,2022
0jvjix,RB,1,2019
Hedtlj,RB,0.5833333333333334,2019
bWVVjo,NB,0.5,2022
sGTou1,RB,0.5,2020
XRyhdC,RB,1,2020
P0STha,RB,1,2021
myphnL,RB,0.4166666666666667,2018
3eemPZ,RB,0.5,2021
0caWQA,RB,1,2021
nbVqVj,RB,0.16666666666666666,2020
GjadwH,NB,1,2019
oN1UGX,NB,1,2019
0ciskl,RB,1,2018
FJuBAo,RB,1,2020
OABB2w,RB,0.5,2021
YDWsva,RB,1,2018
2FmLfg,RB,0.4166666666666667,2022
xDV2lr,RB,1,2020
ADHwrN,RB,1,2019
UXHyyl,RB,1,2018
cPXCCB,RB,0.5,2021
GwybDJ,NB,1,2021
yjMNQO,RB,1,2021
hIOiyY,RB,1,2022
ajUXGE,RB,1,2021
rfjAhJ,NB,1,2021
PXQFMY,RB,1,2020
WBubGC,RB,0.5,2018
W2rNIA,RB,0.5,2018
Gkbg0U,RB,1,2021
2WxTiJ,NB,0.5,2021
KdbLEL,RB,1,2021
nLSeRc,NB,1,2022
fanrjY,NB,1,2018
uDawlS,NB,0.5,2022
zHrvCh,RB,1,2021
dOK0Lr,NB,1,2018
dQi4zq,RB,1,2022
MM0btX,RB,1,2022
sEfSml,NB,1,2022
JNHlsl,RB,0.5,2020
rRCAry,NB,1,2018
4ihVuG,RB,0.25,2021
kRrKJN,RB,1,2018
0ne4qF,NB,1,2021
TKBBcJ,NB,1,2020
HiPolz,RB,0.4166666666666667,2018
q4BFkZ,NB,1,2018
itOjTc,RB,1,2020
ZQQq20,RB,1,2020
Jia2XR,RB,0.5,2020
rXlUyb,RB,1,2018
MtvIti,RB,1,2019
4GfldY,RB,1,2019
nzIbXS,NB,1,2022
RgGjlY,RB,1,2022
BB4oTv,RB,0.5,2018
tSXa3H,RB,0.5,2018
kB0SrV,RB,1,2021
tVyz3F,NB,0.16666666666666666,2021
jcCJ3e,RB,0.16666666666666666,2018
HkHfgO,RB,1,2020
FZBFLY,NB,1,2020
vmezIj,RB,0.5,2022
SBhmK2,NB,0.5,2018
Ib4DyG,RB,1,2021
lU0ToN,NB,1,2018
lkUXWh,RB,1,2021
cCMXDk,RB,0.5,2022
rmw1aY,NB,1,2020
IEclvY,RB,1,2020
WttXWv,RB,0.8333333333333334,2021
wkQDId,RB,1,2021
fDoM1C,RB,1,2020
tKdvCm,RB,1,2019
PqdQJ5,RB,1,2019
gBOiJA,RB,1,2020
aHP20U,RB,1,2022
XAkMIg,NB,1,2018
KTXCvS,NB,1,2019
yIJHhQ,RB,1,2020
NjqlmY,NB,0.5,2020
SLsNVm,NB,1,2019
FLFvYR,RB,1,2020
fDsJ4d,NB,0.5,2021
FqIceS,RB,1,2020
qYdlwJ,RB,0.5,2022
TGkbdY,RB,1,2021
hKBrNz,RB,1,2020
2inw0M,NB,1,2021
maCjYu,NB,1,2020
4hWGti,NB,0.5,2020
GRloFN,RB,1,2018
4HfDIa,NB,1,2022
gvkV24,NB,1,2022
BZinzv,RB,0.9166666666666666,2019
IvIShf,NB,1,2018
HCONxV,RB,0.5,2021
uVSAVL,RB,1,2020
ge4GzP,NB,1,2018
OJaRaU,RB,1,2020
D1F0IF,RB,0.5,2019
cSkWeu,RB,1,2018
nKVz0R,RB,0.5,2021
zLFAY1,RB,0.5,2018
onnXyA,RB,0.5,2022
SOAFqc,NB,1,2022
cMKMHv,RB,1,2018
yJJhnk,RB,0.5,2018
bdIuI2,RB,0.4166666666666667,2018
aS4W1g,RB,1,2018
A4kC3D,RB,0.5,2022
FWqdWE,RB,1,2020
BfZi04,RB,0.25,2021
dYoHJo,RB,0.5,2022
ZyuDJq,RB,0.08333333333333333,2022
gqw0hb,RB,1,2022
Z4SVgq,RB,0.9166666666666666,2022
WEWHhd,RB,1,2018
lu31se,RB,1,2022
Bp4PcM,RB,1,2021
p0mzaK,RB,0.5,2022
LZaIWx,RB,1,2019
TttqJH,RB,1,2019
IIkC31,NB,1,2018
sccAWp,RB,0.25,2022
so0PSD,RB,0.5,2022
wJomGL,NB,1,2022
eyq2uU,RB,0.25,2021
xUk1Ve,NB,1,2018
tYQWWd,RB,1,2020
eSvtWS,RB,0.5,2019
VcTT0c,RB,1,2022
aXVo2G,NB,1,2018
uEsQdJ,RB,0.5,2019
bbnzkn,NB,1,2020
PP2trz,RB,1,2021
O1YbGU,NB,0.5,2019
hPYDzx,RB,0.5,2022
0QzUQM,RB,1,2022
KwBUnf,RB,1,2021
UwOEkn,RB,1,2020
eZHzYS,NB,1,2021
z3EQKt,NB,0.5,2020
LnfiaP,RB,1,2020
eAfLns,RB,1,2022
m0aOUL,NB,1,2018
01slXS,RB,0.5,2022
qTf0hd,NB,1,2018
GSZVnd,NB,1,2021
q2YYyW,RB,0.5,2019
UMntiv,NB,1,2022
Oc14QZ,RB,1,2021
pR0X4r,RB,1,2021
4L1tDv,NB,1,2020
KeGDSh,NB,1,2022
A0UKtw,NB,1,2022
YCffAo,NB,1,2018
d2ZW1z,RB,1,2022
hAwRVS,NB,0.4166666666666667,2021
qyYduY,NB,0.5,2022
VOsFhr,RB,0.5,2020
j0UXf3,RB,0.5,2020
wSNARf,RB,1,2018
OWAMsT,NB,0.5,2021
edjzvw,RB,1,2020
NtNPfb,RB,1,2018
ZKYp2V,RB,0.5,2021
vDauwu,NB,1,2019
GulNxV,RB,1,2020
XTxSGk,NB,1,2020
HKRGXD,NB,1,2022
BZfjIL,RB,1,2022
zQ2TH0,RB,0.5,2022
ZbpP4B,NB,1,2019
2UGDGX,RB,0.5,2022
YsIOLi,NB,1,2020
a3eiLU,NB,1,2021
BZwEk5,NB,1,2018
UtH21Y,RB,1,2021
ylNgyA,RB,1,2018
utb2Rj,RB,1,2021
Z1rnJs,RB,0.75,2021
gZNLav,RB,1,2022
oHM1rB,RB,1,2019
aqwHe1,RB,0.75,2020
kpXzrY,RB,1,2021
BbzlW3,RB,0.25,2022
DtB2BD,RB,1,2020
iZIh2Y,NB,1,2021
tu0wSE,RB,1,2020
umuO0W,RB,0.5,2021
Glcumb,RB,0.5,2020
EvSGVZ,RB,1,2021
sasp4I,RB,0.5,2019
w1CjqG,RB,0.5,2018
BbnNBy,NB,1,2022
2QltKN,RB,1,2020
KAFX3S,RB,1,2018
IqeYUd,NB,0.16666666666666666,2019
iRzWJy,RB,0.5,2018
kKLNHT,RB,0.5,2018
QCyvlk,NB,1,2021
ZVdkTs,RB,1,2020
MzQPL0,NB,1,2018
Xas3Lx,RB,0.5,2018
F4xsjf,RB,1,2018
Vc4JrJ,NB,1,2019
VCQvCh,RB,1,2022
DexRoe,RB,1,2018
BAiIVr,RB,0.5,2021
uPgdug,NB,1,2019
eOilDx,RB,0.6666666666666666,2022
hahcUx,RB,1,2021
Poh2o3,RB,1,2018
YuOXFT,RB,1,2019
zp4Vgm,RB,1,2020
PWxyR2,RB,0.5,2022
iCPEoT,RB,1,2020
fQq1yO,RB,1,2021
aPMokr,RB,0.5,2021
YuvRE3,RB,1,2020
q0QosF,RB,0.5,2022
wiVFYH,RB,0.5,2019
CNReuo,RB,0.5,2018
M4WyEN,RB,0.5,2018
jM4Swi,NB,1,2019
BEDAIc,RB,1,2020
rTxlhM,NB,0.5,2018
NDKfbp,NB,1,2019
mxazPT,RB,1,2018
Ume0jc,NB,0.5,2019
sX0vR3,NB,1,2021
omXxrj,NB,1,2020
RH3Fvs,RB,1,2020
JXX2AJ,RB,1,2021
FZDJHV,NB,0.5,2018
fmlOQ1,NB,1,2019
ThaSPq,NB,1,2020
CdxBeM,RB,1,2021
Ulz2ah,NB,1,2019
ZPpThW,NB,1,2018
V1NxGi,RB,1,2020
KOdtW1,RB,0.25,2021
NhIVKI,RB,0.5,2020
TrvBgk,NB,0.5,2022
1ri2L0,NB,0.5,2021
radDnL,RB,1,2018
kJhqcF,RB,0.3333333333333333,2019
PGwNrN,NB,1,2020
cNHwPk,RB,0.5,2021
3wMlUG,NB,0.5,2018
1pWHuN,NB,0.5,2022
xHqqPb,RB,1,2019
Mmlvgr,RB,0.5,2021
KXczPV,RB,1,2018
ZpmYGS,NB,1,2022
syuiRc,NB,1,2022
MwnEtc,RB,1,2020
x0pMGi,RB,1,2022
y1IQRw,RB,1,2019
CPzuaD,NB,0.5,2021
OifGXq,RB,1,2022
dyvjoI,RB,0.5,2020
Y3FoIj,RB,1,2021
ReddKn,RB,1,2020
wY1Wpm,NB,1,2022
lwF2kE,NB,0.5,2018
aTdvz0,RB,0.5,2022
BwIyvc,RB,1,2022
d2ifFL,RB,1,2019
ykrZYP,NB,0.5,2018
rCIZYb,RB,0.75,2021
JqRpBY,NB,1,2018
drpDEk,NB,1,2019
LA1xbj,NB,0.5,2020
NWpOEm,RB,1,2022
BQHrpc,RB,1,2019
bxFvdA,RB,0.3333333333333333,2021
1jgJGx,RB,0.5,2020
LFJLNx,RB,1,2022
g0rn3D,RB,0.5,2020
WOmtJM,RB,1,2020
1PMtKJ,RB,1,2021
BPnvWo,NB,0.5,2019
KmQgIZ,RB,0.9166666666666666,2022
DzogD3,RB,1,2018
eEiLRb,RB,1,2020
B3XULj,RB,1,2021
F3LMKh,RB,0.5,2021
4lgqbk,RB,0.5833333333333334,2020
RmH2va,RB,1,2019
uf3QGm,NB,0.5,2020
Wp4E1l,NB,1,2018
LLBjDB,NB,1,2022
HV3oTZ,RB,1,2020
a4AKgS,RB,1,2022
iiteq1,RB,1,2022
lHwuMO,NB,0.5,2018
NQbOfO,NB,0.08333333333333333,2019
yTlpSN,RB,0.5,2019
qLiYXR,NB,1,2022
EnHOMf,NB,0.5833333333333334,2019
zfGRAb,RB,0.5,2021
KOCuHL,RB,0.5,2018
