id,age,gender,marital.status,yrs.licensed,region
DF1wrw,49,M,Married,27,F
3qQBDs,65,M,Separated,36,C
QXELSe,33,F,Single,9,G
KGjwZd,52,F,Divorced,25,H
ham41X,46,M,Married,28,H
ddZKvl,76,F,Married,46,J
HUzTeB,40,M,Married,19,A
wJMqPq,47,F,Single,23,C
SicBcI,51,M,Divorced,9,A
kt3Bnd,29,F,NA,12,E
Rqshlv,48,F,Separated,26,F
TrTQAm,32,F,Married,10,C
RguUrB,28,F,Married,8,E
VSlrMI,44,F,Single,25,C
14CVZx,64,F,Widowed,38,A
RCIwxr,47,F,Single,28,B
sVqdmG,36,F,Single,15,A
osQIfN,34,f,Married,10,C
vojadX,57,M,Divorced,34,A
2wQvos,29,F,Single,11,H
TYkuOU,61,M,Married,37,B
uZeYqH,78,M,Single,55,B
OE0FWJ,32,F,Married,10,L
0FNFKV,33,M,Married,15,I
FSeohS,57,M,Widowed,38,E
g1M41x,68,F,Married,35,H
pzf0zs,38,F,Single,12,B
i0NaW4,45,F,Married,26,B
YggxfK,22,F,Single,3,B
sIx2aq,63,M,Married,32,G
PVGrBM,40,F,Married,21,C
EOvzdc,23,M,Married,4,I
JMpHGK,69,F,Divorced,40,A
jBGFNW,39,F,Married,8,B
IaWr4W,21,M,Single,3,C
aNDCVy,44,F,Separated,18,I
jJZjX0,34,F,Single,14,A
JIJNZq,46,F,Single,18,H
YrOxze,37,F,Single,18,C
QfvWOg,58,M,Widowed,36,C
D4HK0U,39,F,Married,19,B
arRLCT,24,F,Single,5,F
MOxEc1,80,M,Married,58,A
WmmIgN,44,F,Married,26,E
OxmL3W,23,M,Married,6,B
GFFUkV,22,M,Single,5,J
wohYeZ,37,F,Married,18,B
PYcrX3,28,F,Married,3,G
iZ4D02,42,M,Widowed,15,G
tiyYEY,36,M,Single,14,A
ILOaTg,55,M,Married,33,A
3UjFgD,52,F,Married,30,B
3ycpZA,61,M,Married,31,A
gHmmZ0,50,F,Married,32,A
3URKae,46,M,Married,23,C
Bv0T1a,57,F,Married,35,F
g2axrz,35,M,Married,17,C
YZWBtQ,35,F,Married,15,B
PXG4Yg,55,F,Married,27,E
z0mthn,57,M,Married,31,E
p2Ycxe,32,M,Married,12,L
xzG1kV,50,M,Married,25,E
ylSqRi,32,F,Single,13,H
Izoskx,47,M,Married,27,A
3IboXb,29,F,Married,6,D
oxxqCe,65,M,Married,36,G
wnAlta,27,F,Single,7,A
3VXEcY,84,M,Divorced,58,E
SO1rRj,26,F,Married,8,C
ULewqW,43,F,Widowed,19,A
tprTWm,30,F,Single,12,G
rpKTFV,44,M,Divorced,27,H
BinNej,46,M,Divorced,21,D
BmCrZp,34,F,Single,15,I
JUwJUj,79,M,Divorced,55,A
CnOxKt,31,M,Single,13,A
3HhJXS,37,M,Married,16,E
OWeKQh,50,F,Married,14,A
mgANzL,44,F,Married,24,B
KlbPvO,47,F,Single,29,E
KKkMxn,38,F,Single,21,C
VAPOk3,21,F,Single,4,B
HOH0I1,42,F,Single,14,C
nlYkjA,21,M,Single,3,C
vvprBA,30,M,Married,11,E
ynHJMr,27,F,Married,10,A
gh4WvY,38,F,Single,16,K
wNRr2y,51,F,Married,23,A
XWMxpk,56,M,Widowed,32,A
vqLr1B,23,F,Single,4,C
3hWITb,23,F,Single,5,H
4Iznjj,68,M,Widowed,38,H
Fr0LFM,40,M,Divorced,14,E
aS4IV2,22,F,Single,4,D
yeg4dl,41,M,Divorced,18,B
Cc1zzZ,28,M,Single,9,A
KAG4Ze,72,F,Widowed,46,B
jHTUUy,NA,m,Married,29,E
irFWhr,45,F,Widowed,22,A
LRGJTn,71,M,Married,45,A
mtN1O3,56,M,Married,23,D
EiJx4A,26,M,Single,5,F
qRSKgl,36,M,Divorced,9,D
fzRfLN,53,M,Married,30,A
OdCbBd,47,F,Widowed,30,A
cdSUK0,23,M,Single,5,H
M33xL1,27,M,Married,10,B
wdMpeX,33,M,Married,15,A
yORRzX,49,M,Married,30,A
2HDsLm,34,F,Married,17,E
bkWbFy,23,M,Single,5,I
QLzeZk,23,F,Singlr,6,NA
MNctCE,23,M,Single,7,J
VvVDAV,68,F,Married,44,F
tDDayj,50,F,Married,19,L
KPeSJQ,60,F,Single,27,E
Zv3BbO,44,F,Single,20,H
Ay3OY0,23,M,Single,5,I
f3QHqB,42,F,Widowed,21,B
ltgxBf,44,F,Married,13,A
dRye1c,29,M,Married,11,C
n11diP,38,F,Married,15,C
BUmKIf,26,M,Widowed,8,E
1xguaC,35,M,Single,15,D
gJGFSD,32,M,Single,12,B
U1ZNSv,65,F,Married,37,F
COhMY4,68,M,Married,41,C
FxX0gb,66,F,Married,42,C
micVvW,31,M,Single,12,A
IaCPhH,36,F,Single,12,B
K4hMAp,44,M,Single,18,B
PmoXC4,24,F,Married,4,A
4yRbSC,52,M,Married,26,A
hzXvCf,26,F,Single,9,C
ubSbX6,NA,f,Divorce,26,B
PKgR0v,64,M,Married,40,A
KzZioP,50,M,Married,17,K
kQyyjm,41,F,Married,18,D
iAHLhg,57,M,Married,20,A
wbckAj,29,M,Married,12,C
pUCzgm,35,F,Single,17,B
sjVerO,44,M,Widowed,21,D
iH3gOa,28,M,Single,7,K
ePhYFv,56,M,Married,30,I
2Drkn0,56,M,Married,35,A
IPAN00,28,F,Married,10,I
x4srkT,38,F,Single,17,J
zvb1qh,35,F,Widowed,7,F
PVFUCO,45,F,Widowed,25,A
zXLOMO,42,M,Single,19,A
wYkxql,39,M,Divorced,18,E
Nnzp2K,43,F,Married,22,J
GXEJtJ,55,M,Married,28,A
oegWKf,73,F,Divorced,52,I
c4qixl,43,M,Married,18,J
BFrOiZ,57,M,Divorced,32,A
ElmJhk,32,F,Single,10,C
OWwNLt,32,M,Single,15,B
qgDclC,28,M,Married,8,F
PTwv0q,78,F,Married,45,E
Dsgtld,37,F,Married,14,A
FKyip1,27,M,Married,10,G
kj4Mru,56,F,Single,34,A
E0umFG,45,M,Married,23,B
OPYlCq,47,M,Married,27,A
yieVTS,47,m,Married,15,C
rskiWh,28,F,Single,11,D
quIa0D,51,F,Single,34,I
ZaM4Tn,60,M,Married,40,A
HzcANd,44,F,Single,22,D
nfqDll,30,F,Single,10,A
SyEhEm,19,F,Married,2,A
x2MZf3,24,F,Single,6,A
0QHA1p,56,M,Married,31,H
KmGYmH,40,F,Married,20,A
QZnufx,51,M,Married,31,E
eSyScs,70,F,Married,51,E
kTTjnp,40,M,Widowed,18,C
w1nqAc,35,F,Widowed,14,A
h4itgR,31,M,Divorced,13,E
iAFZVT,49,F,Divorced,7,A
pZqF13,26,M,Single,2,D
K1NXWk,40,F,Single,20,K
CbiZhU,60,F,Married,42,H
Yu4OuE,46,M,Married,17,G
tOpJpS,38,M,Widowed,17,H
3d0P4f,31,F,Married,13,C
zaYh0y,18,F,Single,2,I
GgcjFX,56,M,Married,20,A
zH1b2Y,26,F,Single,8,A
0AR0hN,45,M,Divorced,22,E
UacLZd,35,F,Married,14,F
dIZdg4,18,F,Married,1,C
3ZZNJP,61,M,Widowed,27,F
etbuE1,39,F,Divorced,12,C
eYfOtr,72,F,Divorced,41,G
4qyn3n,48,F,Married,21,C
ZN3kM0,30,M,Single,6,E
dUAwFs,42,M,Single,21,E
DnT0l0,50,F,Married,28,C
QY2v3P,34,M,Married,10,A
XcB4Zq,27,F,Married,10,G
V1lITc,38,M,Married,8,B
PVNUnu,35,M,Married,8,A
OhoHTC,25,F,Married,6,M
ud4xVj,53,M,Married,34,E
4egDUE,39,M,Single,10,A
APjd0o,63,F,Married,41,A
G2qhW4,29,M,Married,4,A
s2jzJB,40,F,Married,19,D
DYikGd,45,M,Single,14,D
xYPi0b,36,F,Married,16,C
LbKJmP,75,M,Widowed,55,C
InhWos,41,F,Married,22,E
p2ZLML,39,F,Single,16,J
igcFOo,35,M,Single,17,B
2zDrOI,41,F,Married,22,B
qFoGdD,29,M,Single,10,F
r3eHpi,29,M,Widowed,11,D
gV1jgU,42,M,Single,20,D
1mXufh,69,F,Divorced,47,D
RDvTYk,31,M,Divorced,9,C
VhLdgD,36,M,Married,19,A
0yhkYC,89,F,Married,65,F
R1N13K,60,M,Married,32,C
y44T0u,65,F,Married,35,C
Y2HH0E,19,m,Singlr,2,A
4ptfLH,54,F,Single,18,A
OcbUjG,27,F,Married,7,D
xCBNjr,55,M,Married,35,E
icpdZo,36,F,Single,12,F
xRO1bS,62,M,Divorced,24,B
3qdgTY,74,F,Married,50,H
11zyQo,58,M,Divorced,27,J
tOGmuI,37,F,Single,9,A
vkWSef,41,M,Married,24,G
TyYiwG,52,F,Married,23,E
3GRLkr,46,M,Single,14,E
N0zKUd,42,M,Separated,12,D
NAZp2x,38,F,Married,15,F
Qf2fI6,77,f,Divorce,52,E
KUHP21,20,m,Singlr,3,C
UXfYHE,46,M,Married,13,D
BHrBGc,56,F,Married,34,E
YWanej,72,F,Married,53,I
Pubtmg,42,M,Divorced,18,G
KNXXyn,38,F,Single,14,A
rLX4OR,64,M,Divorced,39,G
2VtccO,32,M,Single,13,A
PFxxV0,22,F,Single,5,B
yvQrYI,55,M,Married,33,A
jxAj31,23,M,Single,5,B
hPBcpJ,49,M,Married,29,H
CjrXZZ,60,M,Married,26,D
VGVApb,23,M,Single,5,C
EAWVPr,35,F,Widowed,15,H
AVpWFo,34,F,Single,17,A
gTZh0s,79,M,Divorced,61,A
nUmkVW,72,F,Married,48,A
jAwBDw,47,F,Divorced,14,H
PSJfej,41,M,Married,21,E
YneHmC,49,M,Married,15,D
L3yavO,35,M,Married,11,G
C0rAqN,43,F,Single,19,F
hnjAzM,39,M,Married,15,C
M4OOJE,49,M,Widowed,26,H
C1YIo4,63,F,Married,40,C
sv0Lam,52,F,Married,34,G
pirbiY,26,M,Single,9,B
wfftbH,34,M,Single,17,D
LkkfkG,45,M,Married,22,K
PTn1Cg,58,F,Married,40,J
okvbNJ,41,F,Married,19,I
QunJGC,62,F,Married,38,C
fKGlGa,71,F,Divorced,52,E
IstzZi,19,F,Single,2,F
BMFqxk,49,F,Married,24,F
2u0YVA,42,M,Married,20,A
QtCKem,59,M,Married,39,H
4CVjKs,33,M,Married,11,D
yvDMbK,67,M,Married,47,F
JSLK14,55,M,Married,22,G
e2SqQq,30,M,Married,13,D
zqnwLh,34,M,Single,16,E
VDeNa3,18,M,Separated,1,D
akxUYy,30,M,Married,12,C
gGt0ns,40,F,Married,21,F
HW0L1v,37,F,Single,17,F
AjoCAG,52,F,Separated,23,C
3EKVZe,32,F,Single,13,E
qtlD4S,30,F,Married,9,A
bkkKvi,55,M,Married,36,D
MbGyUi,39,F,Single,17,A
2JbxUr,69,M,Married,51,F
HlnLDa,41,F,Married,20,D
qfyRKD,48,F,Married,19,H
ZwTuBI,46,M,Divorced,15,A
zaCWGG,47,M,Married,28,H
icz0Hf,38,F,Widowed,18,G
GOYrpm,47,M,Married,30,A
dsKyNl,78,M,Married,58,B
ugsVNG,46,M,Married,28,F
GYUusZ,68,M,Single,46,A
EyF4Tj,29,F,Widowed,9,D
HoOydP,34,M,Widowed,15,E
3zuIAN,38,F,Single,17,I
JxtrL6,43,m,Married,21,D
MsycMC,87,F,Divorced,63,C
o1h3Ra,30,F,Married,7,H
O0M2dE,63,M,Married,41,G
TKMjAl,29,M,Married,8,J
2SKHkU,21,M,Single,5,D
O2ldBt,49,F,Single,11,A
FwyeYx,19,M,Single,2,D
KZev1W,20,M,Single,1,C
vb2yH0,30,F,Married,5,B
yRSrHT,30,M,Single,10,A
kQBvPS,56,F,Married,39,A
P2ikwk,55,F,Married,26,A
qzpiaj,45,M,Married,23,H
wciQhy,41,M,Single,13,G
nYelCV,28,M,Married,9,L
I4rk3X,33,F,Single,8,B
O0ErK4,33,M,Single,15,E
iYAyE2,39,M,Single,11,C
StKMpg,18,M,Single,1,A
UYyOFF,49,M,Married,29,E
fZragq,62,M,Married,35,D
04hHZY,49,F,Widowed,24,A
yVuLuD,30,F,Widowed,12,B
sFUp0F,29,M,Married,6,D
GnBiRd,66,F,Married,46,F
nceQIh,61,F,Married,37,H
ETGEWn,41,M,Single,21,A
zBqAtr,27,F,Married,5,K
TsEc3N,28,M,Single,10,D
vAFNiC,57,M,Separated,34,F
WQq0Jh,35,M,Married,7,G
2BE3tb,62,M,Divorced,36,I
2wu1MU,31,M,Single,12,E
UTtrur,51,M,Divorced,29,C
mXjvtV,60,F,Married,41,I
QcfTFi,34,F,Single,15,E
zD1DFr,37,F,Single,17,B
HJOVHH,54,M,Single,35,B
MNNp4a,23,M,Married,6,B
mZxaWk,29,F,Married,12,B
mQ0BC4,83,f,Married,54,B
WycxD0,46,F,Married,17,A
Bt3qSS,28,F,Married,12,C
B0OnTF,49,M,Single,26,J
IQItqv,50,M,Widowed,23,A
AeZKZE,18,M,Married,2,B
k2VbUD,23,M,Single,5,A
fDQIwb,29,F,Single,12,A
Ebnwi1,28,M,Single,11,A
JS2euk,29,F,Single,11,K
PuBEfs,29,M,Married,9,H
tLbxnq,48,M,Single,21,D
r2bscL,44,F,Single,15,H
rMd3Jy,67,F,Widowed,44,B
DHXZih,77,F,Married,45,F
cNQZL0,29,M,Married,10,B
FVi3dG,44,M,Married,20,B
YejAiG,31,F,Married,11,D
13ysT3,54,F,Married,32,A
RvCSMY,30,F,Single,12,D
bbKZZO,81,F,Married,54,E
gD0rNR,25,F,Single,5,A
IGOBAd,78,M,Married,52,A
gtQhot,41,F,Single,21,E
sdlNSy,57,M,Married,40,C
pQx2pJ,37,F,Married,15,H
e3O0Mp,34,F,Single,17,D
QIQQWz,55,F,Divorced,24,C
FPkAWr,28,F,Single,10,H
WyQSDA,65,M,Single,47,E
dL4dwL,58,M,Married,15,B
oY2L1Z,64,M,Married,35,A
aUFfdJ,37,F,Married,15,B
gvPCF4,46,F,Married,26,L
SNnmIl,42,F,Single,18,E
lrTouo,67,M,Married,44,A
CIfFT4,32,M,Single,16,F
LrbsWQ,27,M,Single,5,A
PODgmJ,46,F,Married,12,A
Awfugl,39,F,Married,19,C
yKCCha,57,M,Married,26,E
rsTP2q,56,F,Single,37,A
y1vueT,36,M,Married,19,F
bEHLSO,57,F,Married,40,A
wwfZaA,31,M,Married,6,G
XPVJHs,62,M,Married,37,L
zxucFP,44,F,Divorced,27,E
mbC4oh,36,M,Widowed,15,F
QtIL3h,52,F,Married,22,E
QhaEeY,18,M,Single,2,D
jfUZOX,39,M,Single,11,F
0pQMFd,29,M,Single,11,G
btWGEa,42,F,Widowed,19,E
ipzYEh,46,F,Married,14,I
hAo2FC,38,F,Single,22,A
oWpTrn,57,F,Married,32,D
wDSQhK,46,M,Single,27,G
vWOrgf,66,F,Widowed,32,D
yxtoWf,38,F,Married,13,C
YsywNr,72,M,Divorced,54,E
xZkINi,41,F,Divorced,23,C
CrvE3E,35,F,Married,10,A
NANZqP,45,M,Married,7,D
PyUjmh,19,F,Married,2,C
shiEKr,22,M,Single,4,G
sZxmZY,26,M,Single,7,A
DGsvj4,85,M,Divorced,64,D
HLK4MV,51,F,Married,32,A
XZMJTV,18,F,Married,1,E
pVcxZr,57,F,Married,38,F
0MwJIe,37,F,Single,15,D
Oti2CK,60,F,Widowed,31,B
XRZgjl,60,F,Married,31,E
sufFyj,33,F,Separated,7,A
J00inO,54,F,Married,21,C
GUxD2G,65,F,Single,35,A
fYw0KT,39,F,Single,13,D
V4WDQh,50,M,Married,17,C
X4Ntlk,57,M,Married,25,I
wtQaGM,40,F,Divorced,21,B
KHBrNW,44,M,Married,23,C
0jvjix,31,F,Widowed,14,J
Hedtlj,48,M,Married,31,C
bWVVjo,58,F,Married,36,K
sGTou1,60,F,Divorced,26,F
XRyhdC,39,M,Married,9,A
P0STha,51,F,Divorced,32,A
myphnL,39,f,Singlr,18,B
3eemPZ,43,F,Single,18,I
0caWQA,72,F,Married,49,C
nbVqVj,32,M,Single,11,G
GjadwH,55,F,Married,28,A
oN1UGX,46,F,Married,13,A
0ciskl,39,F,Divorced,18,A
FJuBAo,51,M,Divorced,34,J
OABB2w,70,F,Single,35,C
YDWsva,19,F,Single,1,D
2FmLfg,31,M,Married,7,A
xDV2lr,34,F,Divorced,12,C
ADHwrN,72,F,Married,49,A
UXHyyl,47,F,Married,19,A
cPXCCB,32,F,Married,13,C
GwybDJ,24,F,Single,5,D
yjMNQO,34,M,Single,13,H
hIOiyY,45,M,Married,15,A
ajUXGE,24,F,Single,5,A
rfjAhJ,37,M,Married,13,C
PXQFMY,36,M,Widowed,11,C
WBubGC,28,F,Married,5,A
W2rNIA,22,M,Single,3,G
Gkbg0U,25,F,Married,7,E
2WxTiJ,25,F,Single,6,B
KdbLEL,52,F,Married,26,K
nLSeRc,47,F,Married,16,A
fanrjY,53,F,Married,29,G
uDawlS,23,F,Single,4,E
zHrvCh,43,F,Divorced,27,H
dOK0Lr,48,M,Married,29,G
dQi4zq,47,F,Widowed,27,A
MM0btX,42,M,Divorced,21,G
sEfSml,32,M,Married,11,A
JNHlsl,64,F,Married,40,E
rRCAry,36,F,Separated,19,H
4ihVuG,40,M,Widowed,16,A
kRrKJN,51,F,Married,31,B
0ne4qF,53,M,Married,25,B
TKBBcJ,67,F,Married,48,D
HiPolz,46,F,Married,12,G
q4BFkZ,21,F,Single,4,G
itOjTc,44,M,Widowed,26,G
ZQQq20,54,F,Married,20,A
Jia2XR,51,M,Single,23,A
rXlUyb,58,F,Single,33,A
MtvIti,58,M,Married,37,B
4GfldY,18,F,Single,2,A
nzIbXS,30,M,Single,9,F
RgGjlY,18,M,Single,1,G
BB4oTv,31,F,Single,7,E
tSXa3H,37,F,Married,13,C
kB0SrV,34,M,Married,10,D
tVyz3F,47,F,Divorced,20,D
jcCJ3e,41,F,Married,21,G
HkHfgO,45,M,Divorced,18,D
FZBFLY,32,F,Married,11,A
vmezIj,56,M,Married,33,C
SBhmK2,41,M,Divorced,19,A
Ib4DyG,27,M,Single,9,H
lU0ToN,32,F,Single,12,D
lkUXWh,58,M,Married,37,A
cCMXDk,72,M,Single,50,F
rmw1aY,45,F,Married,24,H
IEclvY,47,F,Married,30,C
WttXWv,23,F,Single,6,F
wkQDId,28,F,Married,10,F
fDoM1C,50,F,Married,29,H
tKdvCm,59,F,Widowed,32,F
PqdQJI,58,m,Married,15,E
gBOiJA,45,F,Married,13,B
aHP20U,27,F,Married,9,C
XAkMIg,69,m,Married,37,H
KTXCvS,43,F,Single,13,D
yIJHhQ,42,F,Married,15,B
NjqlmY,49,M,Married,28,C
SLsNVm,30,F,Single,12,I
FLFvYR,80,M,Widowed,52,I
fDsJ4d,55,M,Married,35,C
FqIceS,32,M,Single,15,D
qYdlwJ,21,M,Single,4,I
TGkbdY,19,F,Single,2,A
hKBrNz,27,M,Single,10,A
2inw0M,66,M,Married,42,A
maCjYu,54,M,Widowed,29,I
4hWGti,49,F,Married,21,G
GRloFN,37,F,Married,11,D
4HfDIa,27,F,Married,10,E
gvkV24,60,M,Widowed,34,A
BZinzv,59,F,Divorced,30,A
IvIShf,35,M,Married,12,A
HCONxV,64,F,Married,40,A
uVSAVL,78,M,Single,60,F
ge4GzP,70,F,Married,50,E
OJaRaU,36,F,Married,17,G
D1F0IF,25,F,Married,9,K
cSkWeu,30,M,Single,8,F
nKVz0R,30,f,Married,8,C
zLFAY1,25,F,Divorced,8,A
onnXyA,47,F,Married,19,B
SOAFqc,52,F,Widowed,22,L
cMKMHv,65,M,Divorced,43,A
yJJhnk,44,M,Single,12,A
bdIuI2,38,F,Divorced,12,A
aS4W1g,45,F,Divorced,19,I
A4kC3D,51,M,Married,28,H
FWqdWE,38,F,Single,16,A
BfZi04,37,M,Widowed,14,D
dYoHJo,43,M,Married,17,C
ZyuDJq,21,M,Single,3,D
gqw0hb,54,F,Single,24,D
Z4SVgq,50,F,Married,30,E
WEWHhd,57,F,Widowed,24,B
lu31se,21,M,Single,1,G
Bp4PcM,25,M,Single,6,D
p0mzaK,35,M,Divorced,11,C
LZaIWx,22,F,Single,2,B
TttqJH,79,M,Married,49,A
IIkC31,22,M,Single,4,E
sccAWp,52,F,Divorced,32,I
so0PSD,70,F,Widowed,41,A
wJomGL,53,M,Married,29,A
eyq2uU,39,F,Married,7,H
xUk1Ve,56,M,Married,27,A
tYQWWd,42,M,Single,19,D
eSvtWS,65,F,Widowed,36,E
VcTT0c,39,F,Single,14,A
aXVo2G,55,F,Married,34,E
uEsQdJ,71,F,Single,49,D
bbnzkn,49,M,Married,20,A
PP2trz,47,M,Married,18,A
O1YbGU,68,M,Married,40,F
hPYDzx,59,M,Widowed,30,F
0QzUQM,47,F,Married,14,A
KwBUnf,32,M,Single,4,I
UwOEkn,46,M,Married,25,B
eZHzYS,43,M,Married,14,K
z3EQKt,28,F,Divorced,7,C
LnfiaP,77,F,Married,56,A
eAfLns,24,M,Single,5,C
m0aOUL,61,F,Married,30,B
01slXS,29,M,Single,11,C
qTf0hd,27,F,Single,10,A
GSZVnd,50,F,Widowed,18,E
q2YYyW,24,F,Single,4,B
UMntiv,61,F,Married,30,G
Oc14QZ,53,M,Separated,25,E
pR0X4r,42,F,Widowed,18,B
4L1tDv,75,M,Married,49,A
KeGDSh,58,M,Married,23,G
A0UKtw,50,M,Married,30,C
YCffAo,44,F,Married,22,A
d2ZW1z,36,m,Divorced,14,F
hAwRVS,50,F,Divorced,25,A
qyYduY,50,F,Married,20,A
VOsFhr,38,M,Singlr,14,D
j0UXf3,52,M,Single,31,C
wSNARf,41,M,Married,20,B
OWAMsT,29,M,Single,9,A
edjzvw,39,M,Divorced,15,E
NtNPfb,36,F,Married,9,C
ZKYp2V,47,F,Married,16,F
vDauwu,25,M,Divorced,7,D
GulNxV,37,M,Married,14,F
XTxSGk,24,F,Single,7,L
HKRGXD,51,F,Married,29,B
BZfjIL,59,F,Married,36,F
zQ2TH0,28,F,Married,7,G
ZbpP4B,45,F,Single,23,B
2UGDGX,24,M,Single,7,C
YsIOLi,31,M,Single,11,E
a3eiLU,25,F,Single,6,D
BZwEkQ,46,m,Married,24,D
UtH21Y,40,F,Widowed,13,C
ylNgyA,43,M,Married,20,A
utb2Rj,63,F,Married,43,F
Z1rnJs,71,M,Married,51,A
gZNLav,57,F,Married,36,D
oHM1rB,21,M,Single,3,B
aqwHe1,34,F,Married,13,I
kpXzrY,23,M,Single,7,A
BbzlW3,45,F,Divorced,22,D
DtB2BD,44,M,Married,21,K
iZIh2Y,90,M,Married,61,H
tu0wSE,62,F,Married,45,C
umuO0W,38,M,Married,20,A
Glcumb,16,F,Single,0,C
EvSGVZ,58,F,Married,20,E
sasp4I,40,M,Married,7,E
w1CjqG,53,M,Widowed,33,E
BbnNBy,33,M,Single,11,A
2QltKN,39,m,NA,17,E
